day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
19,2,13,1132339.5963215642,244066789.6929736,242921747,7,49,49,5,0,1,1.5,1,0,0,18420347.48681694,13056172.011614917,22416523.312316842,22416523.312316842,4648677.477462193,4823363.805031424,691951.1787601484
20,2,14,1182789.9164029323,320673680.0130542,319478187,7,56,56,5,0,1,1.5,1,0,0,21868246.88419064,15620777.228182144,26748552.109121546,26748552.109121546,5732756.414894087,5835693.672644148,800864.0110487912
21,2,15,2093170.7244025394,415040333.82105374,412934460,7,64,64,5,0,1,1.5,1,0,0,26350754.601663746,19326314.741576966,34054423.56516835,34054423.56516835,6624234.272006146,7031542.561127847,979384.0664565865
22,2,16,1153175.0598692521,526081969.1565198,524916091,7,72,72,5,0,1,1.5,1,0,0,29579487.983746253,22109598.042817656,42577987.147759534,42577987.147759534,7608607.539877222,8106293.17231303,1059661.4489530283
23,2,17,614785.2830260172,657617984.3796761,656990496,8,81,81,5,0,1,1.5,1,0,0,33044291.67679146,27544575.86619943,51329621.84725602,51329621.84725602,9411668.995872857,8867547.687095277,1338309.1499417145
24,2,18,1039312.5768385828,801355829.6734884,800303814,8,89,89,5,0,1,1.5,1,0,0,35238840.89179052,31513920.155386858,56359546.677712746,56359546.677712746,10080697.870677479,9088131.338995464,1456708.3592494612
25,2,19,2851406.208858587,974155798.3055074,971291689,8,98,98,5,0,1,1.5,1,0,0,39222862.613655165,35937676.93399497,75063554.54860696,75063554.54860696,10475066.604939189,10510567.971976364,1590239.958847329
26,2,20,6484675.607380189,1166552550.7040243,1160055172,8,108,108,5,0,1,1.5,1,0,0,45091779.30264382,40872113.61619668,80260427.11998639,80260427.11998639,12654160.728107141,11721348.875478484,1796922.7561091408
27,2,21,1398599.1483698934,1376389578.245007,1374978276,8,117,117,5,0,1,1.5,1,0,0,45514830.83340591,42868140.89423822,94306001.86598398,94306001.86598398,13091090.562987465,12225131.538972273,1831831.8454018454
28,2,22,483448.6511389017,1632835351.747784,1632339200,8,127,127,5,0,1,1.5,1,0,0,56215192.190895565,52932150.76297046,114297160.66240135,114297160.66240135,15761326.25398093,15041745.418038385,2198198.214482212
29,2,23,9272831.067950577,1896671330.1646051,1887385796,8,137,137,5,0,1,1.5,1,0,0,58033141.29301933,55287746.04367756,117154589.6789614,117154589.6789614,15813343.832376907,15281653.970371297,2265503.5984051568
30,2,24,739346.550880745,2224805278.647538,2224053229,8,149,149,5,0,1,1.5,1,0,0,66738112.48697226,64092380.490721405,159222686.86477968,159222686.86477968,17178882.785883494,18257856.12065165,2644029.7339216224
